Number,Name,Constellation
4,Alpha Microscopii,Microscopium
5,Iota Microscopii,Microscopium
2,Alpha Monocerotis,Monoceros
3,Gamma Monocerotis,Monoceros
4,Delta Monocerotis,Monoceros
5,Zeta Monocerotis,Monoceros
6,Beta Monocerotis,Monoceros
1,Alpha Muscae,Musca
2,Beta Muscae,Musca
3,Delta Muscae,Musca
4,Lambda Muscae,Musca
5,Gamma Muscae,Musca
6,Epsilon Muscae,Musca
1,Gamma-2 Normae,Norma
2,Gamma-1 Normae,Norma
3,Epsilon Normae,Norma
4,Iota-1 Normae,Norma
5,Eta Normae,Norma
6,Delta Normae,Norma
1,Nu Octantis,Octans
2,Beta Octantis,Octans
3,Delta Octantis,Octans
4,Theta Octantis,Octans
5,Epsilon Octantis,Octans
6,Polaris Australis,Octans
8,Rasalhague,Ophiuchus
9,Sabik,Ophiuchus
10,Han,Ophiuchus
11,Yed Prior,Ophiuchus
12,Cebalrai,Ophiuchus
13,Kappa Ophichi,Ophiuchus
14,Yed Posterior,Ophiuchus
15,Theta Ophichi,Ophiuchus
16,Sinistra,Ophiuchus
17,Gamma Ophichi,Ophiuchus
18,Marfic,Ophiuchus
4,Betelgeuse,Orion
5,Rigel,Orion
6,Bellatrix,Orion
7,Alnilam,Orion
8,Alnitak,Orion
9,Saif,Orion
10,Mintaka,Orion
11,Nair al Saif,Orion
12,Pi-3 Orionis,Orion
13,Eta Orionis,Orion
14,Meissa,Orion
15,Pi-4 Orionis,Orion
16,Sigma Orionis,Orion
17,Pi-5 Orionis,Orion
18,Omicron-2 Orionis,Orion
19,Mu Orionis,Orion
20,Pi-2 Orionis,Orion
21,Chi-1 Orionis,Orion
22,Nu Orionis,Orion
23,Xi Orionis,Orion
24,Thabit,Orion
25,Chi-2 Orionis,Orion
26,Pi-1 Orionis,Orion
27,Pi-6 Orionis,Orion
28,Omicron-1 Orionis,Orion
1,Peacock,Pavo
2,Beta Pavonis,Pavo
3,Delta Pavonis,Pavo
4,Eta Pavonis,Pavo
5,Epsilon Pavonis,Pavo
6,Lambda Pavonis,Pavo
7,Zeta Pavonis,Pavo
8,Gamma Pavonis,Pavo
9,Pi Pavonis,Pavo
10,Kappa Pavonis,Pavo
11,Xi Pavonis,Pavo
2,Enif,Pegasus
3,Scheat,Pegasus
4,Markab,Pegasus
5,Algenib,Pegasus
6,Matar,Pegasus
7,Homam,Pegasus
8,Sadalbari,Pegasus
9,Baham,Pegasus
10,Iota Pegasi,Pegasus
11,Sadalpheris,Pegasus
12,Jih,Pegasus
13,Pi-1 Pegasi,Pegasus
14,Salm,Pegasus
3,Mirphak,Perseus
4,Algol,Perseus
5,Zeta Persei,Perseus
6,Epsilon Persei,Perseus
7,Gamma Persei,Perseus
8,Delta Persei,Perseus
9,Gorgonea Tertia,Perseus
10,Nu Persei,Perseus
11,Miram,Perseus
12,Misam,Perseus
13,Atik,Perseus
14,Tau Persei,Perseus
15,Menkib,Perseus
16,Iota Persei,Perseus
17,Mu Persei,Perseus
18,Theta Persei,Perseus
19,Lambda Persei,Perseus
20,Gorgonea Quata,Perseus
21,Gorgonea Secunda,Perseus
1,Ankaa,Phoenix
2,Beta Phoenicis,Phoenix
3,Gamma Phoenicis,Phoenix
4,Epsilon Phoenicis,Phoenix
5,Delta Phoenicis,Phoenix
6,Kappa Phoenicis,Phoenix
7,Zeta Phoenicis,Phoenix
8,Eta Phoenicis,Phoenix
9,Psi Phoenicis,Phoenix
10,Mu Phoenicis,Phoenix
11,Iota Phoenicis,Phoenix
12,Lambda-1 Phoenicis,Phoenix
13,Nu Phoenicis,Phoenix
1,Alpha Pictoris,Pictor
2,Beta Pictoris,Pictor
3,Gamma Pictoris,Pictor
4,Delta Pictoris,Pictor
2,Kallat Nunu,Pisces
3,Gamma Piscium,Pisces
4,Alrischa,Pisces
5,Omega Piscium,Pisces
6,Iota Piscium,Pisces
7,Omicron Piscium,Pisces
8,Theta Piscium,Pisces
9,Epsilon Piscium,Pisces
10,Delta Piscium,Pisces
11,Nu Piscium,Pisces
12,Lambda Piscium,Pisces
13,Tau Piscium,Pisces
14,Fum al Samakah,Pisces
15,Xi Piscium,Pisces
16,Chi Piscium,Pisces
17,Phi Piscium,Pisces
18,Upsilon Piscium,Pisces
19,Mu Piscium,Pisces
20,Kappa Piscium,Pisces
1,Fomalhaut,Piscis Austrinus
2,Epsilon Piscis Austrini,Piscis Austrinus
3,Delta Piscis Austrini,Piscis Austrinus
4,Beta Piscis Austrini,Piscis Austrinus
5,Iota Piscis Austrini,Piscis Austrinus
6,Gamma Piscis Austrini,Piscis Austrinus
7,Mu Piscis Austrini,Piscis Austrinus
8,Tau Piscis Austrini,Piscis Austrinus
9,Upsilon Piscis Austrini,Piscis Austrinus
10,Theta Piscis Austrini,Piscis Austrinus
4,Naos,Puppis
5,Tureis,Puppis
6,Turais,Puppis
7,Tau Puppis,Puppis
8,Nu Puppis,Puppis
9,Hadir,Puppis
10,Azmidiske,Puppis
1,Alpha Pyxidis,Pyxis
2,Beta Pyxidis,Pyxis
3,Gamma Pyxidis,Pyxis
4,Kappa Pyxidis,Pyxis
5,Lambda Pyxidis,Pyxis
6,Theta Pyxidis,Pyxis
7,Zeta Pyxidis,Pyxis
8,Delta Pyxidis,Pyxis
1,Alpha Reticuli,Reticulum
2,Beta Reticuli,Reticulum
3,Epsilon Reticuli,Reticulum
4,Gamma Reticuli,Reticulum
5,Delta Reticuli,Reticulum
6,Kappa Reticuli,Reticulum
7,Iota Reticuli,Reticulum
2,Gamma Sagittae,Sagitta
3,Delta Sagittae,Sagitta
4,Sham,Sagitta
5,Beta Sagittae,Sagitta
16,Kaus Australis,Sagittarius
17,Nunki,Sagittarius
18,Ascella,Sagittarius
19,Kaus Media,Sagittarius
20,Kaus Borealis,Sagittarius
21,Albaldah,Sagittarius
22,Alnasl,Sagittarius
23,Sephdar,Sagittarius
24,Phi Sagittarii,Sagittarius
25,Tau Sagittarii,Sagittarius
26,Omicron Sagittarii,Sagittarius
27,Polis,Sagittarius
28,Rho-1 Sagittarii,Sagittarius
29,Arkab Prior,Sagittarius
30,Rukbat,Sagittarius
31,Iota Sagittarii,Sagittarius
32,Arkab Posterior,Sagittarius
33,Theta-1 Sagittarii,Sagittarius
34,Omega Sagittarii,Sagittarius
35,Ain al Rami,Sagittarius
5,Antares,Scorpius
6,Shaula,Scorpius
7,Sargas,Scorpius
8,Dschubba,Scorpius
9,Wei,Scorpius
10,Girtab,Scorpius
11,Acrab,Scorpius
12,Lesath,Scorpius
13,Alniyat,Scorpius
14,Alniyat,Scorpius
15,Pi Scorpii,Scorpius
16,Apollyon,Scorpius
17,Mu-1 Scorpii,Scorpius
18,Eta Scorpii,Scorpius
19,Mu-2 Scorpii,Scorpius
20,Rho Scorpii,Scorpius
21,Jabbah,Scorpius
22,Graffias,Scorpius
1,Alpha Sculptoris,Sculptor
2,Beta Sculptoris,Sculptor
3,Gamma Sculptoris,Sculptor
4,Delta Sculptoris,Sculptor
5,Eta Sculptoris,Sculptor
3,Ionnina,Scutum
4,Beta Scuti,Scutum
5,Delta Scuti,Scutum
6,Gamma Scuti,Scutum
7,Zeta Scuti,Scutum
8,Epsilon Scuti,Scutum
3,Unukalhai,Serpens
4,Eta Serpentis,Serpens
5,Mu Serpentis,Serpens
6,Xi Serpentis,Serpens
7,Beta Serpentis,Serpens
8,Epsilon Serpentis,Serpens
9,Delta Serpentis,Serpens
10,Gamma Serpentis,Serpens
11,Kappa Serpentis,Serpens
12,Nu Serpentis,Serpens
13,Lambda Serpentis,Serpens
14,Iota Serpentis,Serpens
15,Alya,Serpens
1,Alpha Sextantis,Sextans
2,Beta Sextantis,Sextans
3,Gamma Sextantis,Sextans
4,Delta Sextantis,Sextans
3,Aldebaran,Taurus
4,Elnath,Taurus
5,Alcyone,Taurus
6,Zeta Tauri,Taurus
7,Lambda Tauri,Taurus
8,Ain,Taurus
9,Hyadum I,Taurus
10,Xi Tauri,Taurus
11,Hyadum II,Taurus
12,Theta Tauri,Taurus
13,Nu Tauri,Taurus
14,Tau Tauri,Taurus
15,Mu Tauri,Taurus
16,Omicron Tauri,Taurus
1,Alpha Telescopii,Telescopium
2,Zeta Telescopii,Telescopium
3,Epsilon Telescopii,Telescopium
4,Lambda Telescopii,Telescopium
5,Xi Telescopii,Telescopium
6,Iota Telescopii,Telescopium
2,Beta Trianguli,Triangulum
3,Mothalla,Triangulum
4,Gamma Trianguli,Triangulum
5,Delta Trianguli,Triangulum
1,Atria,Triangulum Australe
2,Betria,Triangulum Australe
3,Gatria,Triangulum Australe
4,Delta Triangulum Australis,Triangulum Australe
5,Epsilon Triangulum Australis,Triangulum Australe
1,Alpha Tucanae,Tucana
2,Gamma Tucanae,Tucana
3,Zeta Tucanae,Tucana
4,Beta Tucanae,Tucana
5,Epsilon Tucanae,Tucana
6,Delta Tucanae,Tucana
7,Nu Tucanae,Tucana
8,Eta Tucanae,Tucana
8,Alioth,Ursa Major
9,Dubhe,Ursa Major
10,Alkaid,Ursa Major
11,Mizar,Ursa Major
