Constellation,Number,HD,Mag,Lon,Lat
Leo,17,99028.0,4.0,9.019291666666676,10.529694444444443
Leo,7,89484.0,2.37,25.007666666666665,19.84186111111111
Leo,12,89025.0,3.43,25.827499999999983,23.417333333333332
Leo,16,85503.0,3.88,31.80850000000001,26.00708333333333
Leo,20,81146.0,4.47,38.83633333333333,26.18244444444445
Leo,19,82308.0,4.32,37.06983333333332,22.968055555555555
Leo,10,84441.0,2.97,33.53708333333333,23.774277777777776
Leo,13,87737.0,3.48,28.166875000000005,16.762666666666668
Leo Minor,1,94264.0,3.79,16.67233333333334,34.21555555555556
Leo Minor,2,90537.0,4.2,23.02879166666668,36.70747222222222
Leo Minor,3,87696.0,4.49,28.142791666666653,35.24469444444445
Leo Minor,5,90277.0,4.72,23.52137500000001,33.79625
Lynx,1,80493.0,3.14,39.73558333333333,34.39252777777778
Lynx,2,80081.0,3.82,40.28887499999999,36.80288888888889
Lynx,5,76943.0,3.96,44.83854166666666,41.78344444444444
Lynx,3,70272.0,4.25,54.291125,43.18836111111111
Lynx,6,70272.0,4.25,54.291125,43.18836111111111
Lynx,7,58142.0,4.61,68.32141666666666,49.21163888888889
Lynx,8,50522.0,4.35,75.68083333333334,58.42305555555555
Lyra,4,176437.0,3.25,-104.73591666666664,32.68955555555555
Lyra,6,175588.0,4.22,-103.62620833333337,36.89861111111111
Lyra,9,173648.0,4.34,-101.19308333333332,37.60505555555556
Lyra,3,172167.0,0.03,-99.234125,38.783
Lyra,10,173607.0,4.6,-101.09491666666668,39.61258333333333
Lyra,5,174638.0,3.52,-102.5199583333333,33.36266666666667
Monoceros,4,55185.0,4.15,72.03391666666667,0.4927777777777777
Monoceros,7,44769.0,4.39,84.05791666666667,4.592833333333333
Ophiuchus,17,161868.0,3.75,-86.97320833333333,2.7074722222222225
Ophiuchus,12,161096.0,2.76,-85.86824999999999,4.566916666666667
Ophiuchus,8,159561.0,2.08,-83.73333333333335,12.560583333333334
Ophiuchus,13,153210.0,3.19,-74.41779166666666,9.375055555555557
Ophiuchus,18,148857.0,3.82,-67.7285,1.9841111111111112
Orion,25,41117.0,4.64,89.02008333333333,20.138472222222223
Orion,23,42560.0,4.45,87.015,14.208805555555555
Orion,19,40932.0,4.12,89.40420833333333,9.647361111111111
Orion,22,41753.0,4.42,88.107,14.76852777777778
Orion,4,39801.0,0.42,91.207125,7.407027777777778
Orion,14,36861.0,3.47,96.2155,9.934166666666666
