Constellation,Number,HD,Mag,Lon,Lat
Capricornus,8,198542,4.12,-132.9554167,-25.08086111
Hydrus,5,16978,4.12,140.10325,-67.73305556
Orion,19,40932,4.12,89.40420833,9.647361111
Perseus,17,26630,4.12,116.2755833,48.40936111
Sagittarius,31,188114,4.12,-118.8153333,-40.13158333
Virgo,24,104979,4.12,-1.302791667,8.732833333
Chamaeleon,2,92305,4.11,21.13241667,-77.39219444
Corona Australis,1,178253,4.11,-107.3678333,-36.09575
Eridanus,16,16815,4.11,139.833625,-38.14469444
Grus,7,217364,4.11,-165.2202917,-51.24588889
Hydra,15,85444,4.11,32.1305,-13.15344444
Triangulum Australe,5,138538,4.11,-54.17995833,-65.68308333
Corona Australis,2,178345,4.1,-107.5072917,-38.65930556
Telescopium,2,169767,4.1,-97.20725,-48.92997222
Perseus,18,16895,4.1,138.9512917,49.22866667
Serpens,11,141477,4.09,-57.18504167,18.14177778
Andromeda,12,4502,4.08,168.1650417,24.26738889
Canis Major,9,50778,4.08,76.45216667,-11.96141667
Capricornus,7,200761,4.08,-136.4865833,-16.76727778
Cetus,12,16582,4.08,140.129375,0.328527778
Crater,2,95272,4.08,15.05520833,-17.70088889
Eridanus,15,18978,4.08,134.4017083,-22.37566667
Hydra,22,95272,4.08,15.05520833,-17.70088889
Hydrus,4,15008,4.08,144.5624167,-67.34058333
Cepheus,7,213306,4.07,-157.2927083,58.41519444
Virgo,20,124850,4.07,-34.00366667,-4.000472222
Circinus,2,135379,4.07,-49.379,-57.19911111
Crater,3,99211,4.06,8.77925,-16.31597222
Gemini,15,60522,4.06,66.01929167,26.896
Musca,6,106849,4.06,-4.394333333,-66.03933333
Ara,8,152980,4.06,-74.89604167,-52.8395
Orion,18,31421,4.06,105.907,13.51458333
Aquarius,12,216032,4.05,-162.3979583,-12.40747222
Chamaeleon,1,71243,4.05,55.36970833,-75.08002778
Perseus,16,19373,4.05,132.738,49.6135
Centaurus,18,125473,4.05,-35.1395,-36.11472222
Leo,18,98664,4.05,9.715625,6.029361111
Boötes,10,126660,4.04,-36.30008333,51.85172222
Virgo,25,102212,4.04,3.535125,6.529805556
Aquarius,11,213998,4.04,-158.838875,0.117361111
Camelopardalis,1,31910,4.03,104.1454167,60.44227778
Delphinus,4,195810,4.03,-128.3031667,11.30333333
Pisces,5,224617,4.03,-179.8275,6.863583333
Triangulum,4,14055,4.03,145.6715,33.84733333
Cancer,8,74739,4.03,48.32570833,28.76
Pyxis,3,75691,4.02,47.366625,-26.28994444
Aquila,9,176411,4.02,-104.9057917,15.06847222
Corvus,5,105452,4.02,-2.103125,-23.27122222
Draco,14,144284,4.01,-60.47375,58.56444444
Eridanus,13,30211,4.01,108.6244167,-2.745388889
Gemini,14,52973,4.01,73.97275,20.57030556
Norma,1,146686,4.01,-64.96070833,-49.84461111
Pavo,7,171759,4.01,-100.758875,-70.57227778
Leo,17,99028,4,9.019291667,10.52969444
Volans,5,78045,4,44.38833333,-65.60416667
Scorpius,21,145502,4,-62.99891667,-18.53936111
Tucana,2,219571,3.99,-169.3575417,-57.76408333
Ursa Major,26,116842,3.99,-21.30641667,54.98797222
Cetus,11,12274,3.99,149.9990833,-20.92222222
Monoceros,3,43232,3.99,86.28608333,-5.725277778
Perseus,15,24912,3.98,120.25875,35.79102778
Centaurus,15,105937,3.97,-2.913125,-51.63158333
Eridanus,28,28028,3.97,113.9909583,-33.983
Grus,6,213009,3.97,-157.3172917,-42.50444444
Lupus,11,141556,3.97,-57.73975,-32.37288889
Pegasus,11,215665,3.97,-161.6326667,23.56566667
Volans,4,57623,3.97,70.792375,-66.04283333
Pavo,5,188228,3.97,-120.1474583,-71.08980556
Pyxis,2,74006,3.97,49.97441667,-34.69169444
Aquarius,27,220321,3.96,-170.7429167,-19.89966667
Cygnus,16,192909,3.96,-123.868,47.71419444
Lynx,5,76943,3.96,44.83854167,41.78344444
Sagittarius,30,181869,3.96,-110.9714583,-39.38436111
Columba,5,40808,3.96,90.213375,-41.18488889
Sagittarius,29,181454,3.96,-110.6595417,-43.54108333
Cancer,4,74442,3.94,48.82870833,18.15486111
Cygnus,15,199629,3.94,-134.293375,41.16719444
Monoceros,2,61935,3.94,64.688,-8.448916667
Phoenix,7,6882,3.94,162.9039167,-54.75416667
Eridanus,12,29248,3.93,110.92025,-2.647555556
Perseus,14,17878,3.93,136.4355833,52.7625
Phoenix,5,9362,3.93,157.1875833,-48.92691667
Phoenix,6,2262,3.93,173.4495,-42.32008333
Volans,3,63295,3.93,64.545,-71.39386111
