artist,album,track_name,track_id,release_year,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Wolfine,Bella,Bella,3xcCix7Jv1Rp90YVmgo35D,2018,False,4,0.909,0.493,3,-6.688,1,0.0735,0.000147,0.127,0.844,94.016,197120,4
Calvin Harris,Promises (with Sam Smith),Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,2018,False,79,0.781,0.768,11,-5.991,1,0.0394,4.91e-06,0.325,0.486,123.07,213309,4
Lil Baby,Harder Than Ever,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,2018,True,83,0.963,0.346,5,-9.309,0,0.53,0.0,0.108,0.562,119.957,142273,4
Lauv,I met you when I was 18. (the playlist),I Like Me Better,2P91MQbaiQOfbiz9VqhqKQ,2018,False,85,0.752,0.505,9,-7.621,1,0.253,2.55e-06,0.104,0.419,91.97,197437,4
Keala Settle,This Is Me,This Is Me,2xGjteMU3E1tkEPVFBO08U,2018,False,68,0.284,0.704,2,-7.276,1,0.186,0.000115,0.0424,0.1,191.702,234707,4
XXXTENTACION,17,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,2018,True,87,0.734,0.57,7,-7.066,0,0.133,2.14e-05,0.112,0.689,129.953,95467,4
Zac Efron,Rewrite The Stars,Rewrite The Stars,630sXRhIcfwr2e4RdNtjKN,2018,False,76,0.684,0.619,10,-7.005,1,0.0386,0.0,0.122,0.284,125.046,217440,4
Clean Bandit,I Miss You (feat. Julia Michaels),I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,2018,False,1,0.638,0.658,3,-6.318,1,0.0456,3.77e-06,0.0919,0.33,105.076,205748,4
DJ Khaled,No Brainer,No Brainer,5WvAo7DNuPRmk4APhdPzi8,2018,True,70,0.552,0.76,0,-4.706,1,0.342,0.0,0.0865,0.639,135.702,260000,5
ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit],Dusk Till Dawn (feat. Sia) - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,2018,False,82,0.259,0.437,11,-6.589,0,0.0386,1.32e-06,0.106,0.0951,180.042,239000,4
Dean Lewis,Be Alright,Be Alright,3EPXxR3ImUwfayaurPi3cm,2018,True,83,0.553,0.586,11,-6.319,1,0.0362,0.0,0.0813,0.443,126.684,196373,4
Gilli,Kiko,Vai Amor,7nPTjuVySLIUlgKrzTIFdb,2019,False,52,0.89,0.662,0,-5.462,1,0.199,0.0258,0.0594,0.837,129.988,166353,4
Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,2019,False,76,0.575,0.33,7,-6.557,1,0.031,0.0,0.0872,0.277,95.801,217213,4
Lord Siva,Paris,Paris,1NgeW6kFhdqAvEKgKYhf1s,2019,False,53,0.818,0.533,6,-6.05,0,0.0428,6.66e-06,0.133,0.774,114.97,170645,4
Tones And I,The Kids Are Coming,Dance Monkey,5ZULALImTm80tzUbYQYM9d,2019,False,77,0.824,0.588,6,-6.4,0,0.0924,0.000104,0.149,0.513,98.027,209438,4
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019,False,89,0.501,0.405,1,-5.679,1,0.0319,0.0,0.105,0.446,109.891,182161,4
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,2Fxmhks0bxGSBdJ92vM42m,2019,False,87,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,194088,4
Shawn Mendes,Señorita,Señorita,0TK2YIli7K1leLovkQiNik,2019,False,84,0.759,0.54,9,-6.039,0,0.0287,0.0,0.0945,0.75,116.947,190960,4
Ed Sheeran,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019,False,82,0.798,0.675,6,-5.041,1,0.0442,0.0,0.0894,0.842,101.956,219947,4
Post Malone,Hollywood's Bleeding,Wow.,7xQAfvXzm3AkraOtGPWIZg,2019,True,83,0.829,0.539,11,-7.359,0,0.208,1.78e-06,0.103,0.388,99.96,149547,4
Suspekt,Gonzo,Gonzo,6bh20cEbXMNJ5JPUvbGSYq,2019,True,0,0.75,0.557,1,-8.407,1,0.262,5.15e-05,0.173,0.322,99.977,172500,4
Ava Max,Sweet but Psycho,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2019,False,9,0.719,0.704,1,-4.724,1,0.0476,0.0,0.166,0.628,133.002,187436,4
Emil Stabil,En Sang (feat. Gucci Mane),En Sang (feat. Gucci Mane),1hwYGaUz6V4odyt0u0QlKf,2019,True,50,0.874,0.573,2,-4.768,0,0.0816,0.0,0.0612,0.46,94.989,148242,4
Post Malone,Hollywood's Bleeding,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,2019,False,83,0.755,0.522,2,-4.368,1,0.0575,0.0,0.0685,0.925,89.96,157560,4
Lil Nas X,7 EP,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,2019,False,82,0.878,0.619,6,-5.56,1,0.102,0.0,0.113,0.639,136.041,157067,4
TopGunn,1991,Nik & Jay (feat. Benjamin Hav),151GbWJcajt35sN4T309vF,2019,False,50,0.879,0.489,9,-8.271,0,0.217,0.0,0.11,0.423,94.939,174080,4
KESI,X,X,7iNiRaxUOvd4seviLprqeb,2019,False,45,0.756,0.596,0,-5.473,0,0.0359,0.0,0.216,0.683,102.005,181691,4
